7102	17	7104	2002	2002
6167	17	5817	1926	1926
10797	22	9556	2008	2010
11887	22	10942	2005	2007
4390	14	3971	2014	2015
12396	22	11189	2008	2010
12325	22	10385	2007	2007
12037	22	9645	2008	2008
8550	17	5873	1888	1888
6053	20	9333	1985	1985
4269	14	4270	1832	1875
7148	17	7150	2001	2001
8777	20	6678	2009	2009
11747	22	9562	2013	2015
12072	22	9737	1999	2000
11261	22	10938	2007	2008
10680	22	10681	2004	2006
2832	14	3922	1854	1857
7056	20	7057	1978	1978
6876	20	6706	1904	1904
7527	17	6198	1987	1987
11337	22	9789	2007	2007
4226	14	3726	2012	2013
12262	22	10537	2012	2013
10525	22	10515	2013	2015
12261	22	11039	2005	2007
9412	20	6706	1921	1921
3119	11	3120	2002	2022
7521	17	6939	1996	1996
3211	14	3426	1861	1862
612	15	4983	1914	2014
456	1	126	1871	1920
11327	22	9628	2005	2007
1662	1	126	1871	1920
1527	1	125	1920	2022
12400	22	2772	2009	2012
7207	20	7092	1904	1904
9021	17	9023	2004	2004
3003	17	6586	1980	1980
4944	14	4475	1991	1993
3637	14	3636	1786	1796
1477	1	336	2015	2022
8898	20	7092	1952	1952
11887	22	11055	1997	1997
7184	20	6706	1931	1931
12358	22	10767	2010	2011
4633	14	4634	2013	2022
2473	12	2155	2002	2022
1627	1	1596	1914	2014
6796	20	6801	2005	2005
11231	22	11073	2014	2022
11787	22	10730	1988	1989
9495	21	9457	1985	1985
1416	1	122	1790	1871
8750	20	5847	2010	2010
1832	17	7153	2013	2013
10002	22	9737	2007	2008
7449	17	6399	1927	1927
11147	22	9592	2014	2015
8073	17	5479	1987	1987
8398	17	5885	2001	2001
156	1	122	1790	1871
10144	22	5585	2008	2022
3894	14	3896	1901	1910
6659	17	6660	1944	1944
5286	15	4971	2016	2022
9041	22	10453	2000	2005
3938	14	3939	1993	1997
12175	22	10153	2010	2011
10147	22	10133	2005	2006
2959	10	2924	1993	1998
1732	2	1672	1997	2022
10310	22	9650	1921	1924
3813	14	3458	2001	2005
11459	22	10238	2014	2016
6484	17	6240	1965	1965
3926	14	3927	1935	1944
8321	17	6066	1953	1953
3851	14	3431	2007	2012
2597	20	7092	1961	1961
3701	17	6133	1994	1994
11356	22	10445	2007	2008
10638	22	10640	2007	2007
9119	17	5857	1957	1957
2771	9	2476	2011	2022
11009	22	10157	2012	2014
2761	9	2517	1885	1893
10137	22	9794	2015	2022
5678	16	5696	2001	2001
6808	17	6813	1970	1970
1465	1	336	2015	2022
7961	20	7962	2007	2007
1617	1	1597	2015	2022
2292	20	5722	1985	1985
6839	17	6841	1908	1908
1939	13	3245	2006	2022
4118	14	3495	1953	1954
2470	20	7770	1963	1963
8643	22	10457	1967	1981
8892	20	8236	1995	1995
4210	14	3455	2015	2016
8000	20	9318	1965	1965
2987	17	5874	2014	2014
643	1	125	1920	2022
11409	22	9787	2007	2008
3004	10	2957	1950	1951
4540	14	4541	2008	2011
10817	22	10201	1998	1999
12215	22	10449	2001	2005
12415	22	9776	2003	2007
4114	14	3495	1964	1976
1213	1	122	1790	1871
10555	22	9709	2011	2013
10924	22	10926	2012	2014
10466	22	9766	1975	1977
636	18	717	1885	1973
8144	22	10092	2004	2007
7160	20	7558	1998	1998
11259	22	9724	2009	2009
6053	20	8080	2007	2007
10390	22	9556	2003	2003
6663	20	6674	2000	2000
47	1	176	1935	1963
12147	22	2772	2009	2014
3998	14	3456	2010	2015
5678	16	5683	1951	1951
4582	14	3793	1935	1937
9166	20	6012	1924	1924
2449	17	7052	1982	1982
10290	22	10292	2012	2014
10806	22	10807	2009	2010
474	1	148	1790	1968
1832	17	6520	2010	2010
254	1	148	1790	1968
7869	17	5892	1988	1988
6475	20	5762	1965	1965
8011	20	9322	2002	2002
9067	17	6288	2010	2010
2227	14	3667	2001	2002
11134	22	9668	2002	2002
11609	22	10133	1994	1997
5222	15	4973	1915	2015
9381	20	5762	1932	1932
7864	17	6331	1987	1987
11459	22	9756	2009	2014
